ns_name,ns_type
RT Ponting,RHB
BB McCullum,RHB
DJ Hussey,RHB
Mohammad Hafeez,RHB
SC Ganguly,LHB
CL White,RHB
MV Boucher,RHB
B Akhil,RHB
AA Noffke,RHB
P Kumar,RHB
Z Khan,RHB
SB Joshi,LHB
W Jaffer,RHB
JH Kallis,RHB
R Dravid,RHB
V Kohli,RHB
K Goel,LHB
MEK Hussey,LHB
JR Hopes,RHB
SK Raina,LHB
JDP Oram,LHB
S Badrinath,RHB
PA Patel,LHB
ML Hayden,LHB
MS Dhoni,RHB
KC Sangakkara,LHB
Yuvraj Singh,LHB
SM Katich,LHB 
IK Pathan,LHB
T Kohli,RHB
YK Pathan,RHB
S Dhawan,LHB
G Gambhir,LHB
SK Warne,RHB
D Salunkhe,RHB
SK Trivedi,RHB
V Sehwag,RHB
SR Watson,RHB
M Kaif,RHB
DS Lehmann,LHB
RA Jadeja,LHB
M Rawat,RHB
L Ronchi,RHB
ST Jayasuriya,LHB
DJ Thornely,RHB
RV Uthappa,RHB
PR Shah,RHB
AM Nayar,LHB
SM Pollock,RHB
Harbhajan Singh,RHB
S Chanderpaul,LHB
LRPL Taylor,RHB
WP Saha,RHB
AS Yadav,RHB
A Symonds,RHB
SB Bangar,RHB
WPUJC Vaas,LHB
RP Singh,RHB
AC Gilchrist,LHB
Y Venugopal Rao,RHB
VVS Laxman,RHB
RG Sharma,RHB
SB Styris,RHB
LR Shukla,RHB
PP Chawla,LHB
Kamran Akmal,RHB
DPMD Jayawardene,RHB
S Sohal,RHB
B Lee,RHB
WA Mota,RHB
Shahid Afridi,RHB
DJ Bravo,RHB
A Nehra,RHB
MA Khote,RHB
GC Smith,LHB
Pankaj Singh,RHB
S Sreesanth,RHB
VRV Singh,RHB
SS Tiwary,LHB 
RR Sarwan,RHB
DS Kulkarni,RHB
R Vinay Kumar,RHB
M Kartik,LHB
I Sharma,RHB
AB Agarkar,RHB
AM Rahane,RHB 
TM Srivastava,LHB
Shoaib Malik,RHB
MK Tiwary,RHB
KD Karthik,RHB
R Bhatia,RHB
MF Maharoof,RHB
VY Mahesh,RHB
B Chipli,RHB
DW Steyn,RHB
DB Das,RHB
MK Pandey,RHB
HH Gibbs,RHB
DNT Zoysa,LHB 
D Kalyankrishna,RHB
SE Marsh,LHB
SA Asnodkar,RHB
BJ Hodge,RHB
Sohail Tanvir,LHB 
Salman Butt,LHB
Umar Gul,RHB
AB Dinda,RHB
AB de Villiers,RHB
SP Fleming,LHB
S Vidyut,LHB
JA Morkel,LHB
LPC Silva,RHB
DB Ravi Teja,RHB
Misbah-ul-Haq,RHB
PJ Sangwan,RHB
YV Takawale,RHB
RR Raje,RHB
Mohammad Asif,RHB
GD McGrath,RHB
Joginder Sharma,RHB
MS Gony,RHB
M Muralitharan,RHB
M Ntini,RHB
DT Patil,RHB
A Kumble,RHB
S Anirudha,RHB
MM Patel,RHB
CK Kapugedera,RHB
A Chopra,RHB 
T Taibu,RHB
J Arunkumar,RHB
PP Ojha,LHB
SP Goswami,LHB
SR Tendulkar,RHB
U Kaul,LHB
Niraj Patel,LHB
AD Mascarenhas,RHB
TM Dilshan,RHB
A Mishra,RHB
LA Pomersbach,LHB
Iqbal Abdulla,LHB
Younis Khan,RHB
PM Sarvesh Kumar,RHB
DP Vijaykumar,RHB
Shoaib Akhtar,RHB
Abdur Razzak,RHB
H Das,RHB
DR Smith,RHB
SD Chitnis,RHB 
CRD Fernando,RHB
VS Yeligati,RHB
L Balaji,RHB
A Mukund,LHB
RR Powar,RHB
JP Duminy,LHB
A Flintoff,RHB
T Thushara,LHB
KP Pietersen,RHB
JD Ryder,LHB
T Henderson,RHB
Kamran Khan,LHB
RS Bopara,RHB
MC Henriques,RHB
CH Gayle,LHB
R Bishnoi,RHB 
KV Sharma,LHB
FH Edwards,RHB
AS Raut,RHB
PC Valthaty,RHB
RJ Quiney,LHB
Yashpal Singh,RHB
M Manhas,RHB
AA Bilakhia,RHB
AN Ghosh,RHB
BAW Mendis,RHB
DL Vettori,LHB
MN van Wyk,RHB
RE van der Merwe,RHB
TL Suman,RHB
Shoaib Ahmed,RHB
GR Napier,RHB
KP Appanna,RHB
LA Carseldine,LHB
NV Ojha,RHB
SM Harwood,RHB
