bats_name,,bats,bat_dob,is_wk
RT Ponting,,RHB,1974,
BB McCullum,,RHB,1981,WK
DJ Hussey,,RHB,1977,
Mohammad Hafeez,,RHB,1980,
SC Ganguly,,LHB,1972,
CL White,,RHB,1983,
MV Boucher,,RHB,1976,WK
B Akhil,,RHB,1977,
AA Noffke,,RHB,1977,
P Kumar,,RHB,1986,
Z Khan,,RHB,1978,
SB Joshi,,LHB,1969,
W Jaffer,,RHB,1978,
JH Kallis,,RHB,1975,
R Dravid,,RHB,1973,
V Kohli,,RHB,1988,
K Goel,,LHB,1986,
MEK Hussey,,LHB,1975,
JR Hopes,,RHB,1978,
SK Raina,,LHB,1986,
JDP Oram,,LHB,1978,
S Badrinath,,RHB,1980,
PA Patel,,LHB,1985,
ML Hayden,,LHB,1971,
MS Dhoni,,RHB,1981,WK
KC Sangakkara,,LHB,1977,WK
Yuvraj Singh,,LHB,1981,
SM Katich,,LHB ,1975,
IK Pathan,,LHB,1984,
T Kohli,,RHB,1988,
YK Pathan,,RHB,1982,
S Dhawan,,LHB,1985,
G Gambhir,,LHB,1981,
SK Warne,,RHB,1969,
D Salunkhe,,RHB,1982,
SK Trivedi,,RHB,1982,
V Sehwag,,RHB,1978,
SR Watson,,RHB,1981,
M Kaif,,RHB,1980,
DS Lehmann,,LHB,1970,
RA Jadeja,,LHB,1988,
M Rawat,,RHB,1985,
L Ronchi,,RHB,1981,WK
ST Jayasuriya,,LHB,1969,
DJ Thornely,,RHB,1978,
RV Uthappa,,RHB,1985,
PR Shah,,RHB,1987,
AM Nayar,,LHB,1983,
SM Pollock,,RHB,1973,
Harbhajan Singh,,RHB,1980,
S Chanderpaul,,LHB,1974,
LRPL Taylor,,RHB,1984,
WP Saha,,RHB,1984,WK
AS Yadav,,RHB,1981,
A Symonds,,RHB,1975,
SB Bangar,,RHB,1972,
WPUJC Vaas,,LHB,1974,
RP Singh,,RHB,1985,
AC Gilchrist,,LHB,1971,
Y Venugopal Rao,,RHB,1982,
VVS Laxman,,RHB,1974,
RG Sharma,,RHB,1987,
SB Styris,,RHB,1975,
LR Shukla,,RHB,1981,
PP Chawla,,LHB,1988,
Kamran Akmal,,RHB,1982,WK
DPMD Jayawardene,,RHB,1977,
S Sohal,,RHB,1987,
B Lee,,RHB,1976,
WA Mota,,RHB,1981,
Shahid Afridi,,RHB,1980,
DJ Bravo,,RHB,1983,
A Nehra,,RHB,1979,
MA Khote,,RHB,1980,
GC Smith,,LHB,1981,
Pankaj Singh,,RHB,1985,
S Sreesanth,,RHB,1983,
VRV Singh,,RHB,1984,
SS Tiwary,,LHB ,1989,
RR Sarwan,,RHB,1980,
DS Kulkarni,,RHB,1988,
R Vinay Kumar,,RHB,1984,
M Kartik,,LHB,1976,
I Sharma,,RHB,1988,
AB Agarkar,,RHB,1977,
AM Rahane,,RHB ,1988,
TM Srivastava,,LHB,1989,
Shoaib Malik,,RHB,1982,
MK Tiwary,,RHB,1985,
KD Karthik,,RHB,1985,WK
R Bhatia,,RHB,1986,
MF Maharoof,,RHB,1984,
VY Mahesh,,RHB,1987,
B Chipli,,RHB,1983,
DW Steyn,,RHB,1983,
DB Das,,RHB,1986,
MK Pandey,,RHB,1989,
HH Gibbs,,RHB,1974,
DNT Zoysa,,LHB ,1978,
D Kalyankrishna,,RHB,1983,
SE Marsh,,LHB,1983,
SA Asnodkar,,RHB,1984,
BJ Hodge,,RHB,1974,
Sohail Tanvir,,LHB ,1984,
Salman Butt,,LHB,1984,
Umar Gul,,RHB,1984,
